County,Democratic Active,Republican Active,Libertarian Active,No Party Active,Other Active,Total Active, Democratic Inactive,Republican Inactive,Libertarian Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Van Buren,565,1947,12,886,6,3416,208,506,10,744,5,1473,4889
Wapello,4345,5103,61,3726,17,13252,2447,1698,63,3721,32,7961,21213
Warren,8356,12002,180,8550,29,29117,2436,2948,134,5027,28,10573,39690
Washington,2498,5263,53,2943,12,10769,815,1324,58,2306,10,4513,15282
Wayne,498,1611,9,686,2,2806,212,358,8,452,2,1032,3838
Webster,4609,6674,88,4594,19,15984,2249,2014,81,4445,40,8829,24813
Winnebago,1138,2650,24,1602,2,5416,490,579,22,1367,3,2461,7877
Winneshiek,3651,4168,36,3587,9,11451,1029,624,25,1616,15,3309,14760
Woodbury,10120,16947,191,9704,52,37014,7843,6281,221,11802,85,26232,63246
Worth,959,1762,16,1192,3,3932,292,372,10,858,2,1534,5466
Wright,1127,2885,19,1550,2,5583,494,660,14,1125,7,2300,7883
