((20, 22), (6, 15, 16), (7, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 24, 25))
((20, 22), (6, 15, 16), (8, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 24, 25))
((20, 22), (6, 15, 16), (12, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 24, 25))
((20, 22), (6, 15, 16), (1, 2, 3, 4, 10, 11, 12, 13, 25), (5, 7, 8, 9, 14, 17, 18, 19, 21, 23, 24))
((20, 22), (6, 15, 16), (5, 7, 14, 17, 18, 19, 21, 23, 25), (1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 24))
((20, 22), (6, 15, 16), (7, 8, 14, 17, 18, 19, 21, 23, 25), (1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 24))
((20, 22), (6, 15, 16), (7, 13, 14, 17, 18, 19, 21, 23, 24), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 25))
((20, 22), (6, 15, 16), (7, 14, 17, 18, 19, 21, 23, 24, 25), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13))
((20, 22), (6, 15, 16), (8, 13, 14, 17, 18, 19, 21, 23, 24), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 25))
((20, 22), (6, 15, 16), (9, 12, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 7, 8, 10, 11, 24, 25))
((20, 22), (6, 15, 16), (12, 13, 14, 17, 18, 19, 21, 23, 24), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((20, 22), (6, 15, 16), (1, 2, 3, 4, 8, 9, 10, 11, 12, 13), (5, 7, 14, 17, 18, 19, 21, 23, 24, 25))
((20, 22), (6, 15, 16), (1, 2, 3, 4, 9, 10, 11, 12, 13, 25), (5, 7, 8, 14, 17, 18, 19, 21, 23, 24))
((20, 22), (6, 15, 16), (1, 2, 3, 4, 10, 11, 12, 13, 24, 25), (5, 7, 8, 9, 14, 17, 18, 19, 21, 23))
((20, 22), (6, 15, 16), (1, 2, 3, 8, 9, 10, 11, 12, 13, 25), (4, 5, 7, 14, 17, 18, 19, 21, 23, 24))
((20, 22), (6, 15, 16), (1, 2, 3, 9, 10, 11, 12, 13, 24, 25), (4, 5, 7, 8, 14, 17, 18, 19, 21, 23))
((6, 15, 16), (9, 12, 22), (13, 14, 17, 18, 19, 20, 21, 23), (1, 2, 3, 4, 5, 7, 8, 10, 11, 24, 25))
((6, 15, 16), (11, 12, 22), (1, 2, 3, 4, 8, 9, 10, 13, 20), (5, 7, 14, 17, 18, 19, 21, 23, 24, 25))
((6, 15, 16), (11, 12, 22), (7, 14, 17, 18, 19, 21, 23, 24, 25), (1, 2, 3, 4, 5, 8, 9, 10, 13, 20))
((6, 15, 16), (11, 12, 22), (8, 9, 10, 13, 20, 21, 23, 24, 25), (1, 2, 3, 4, 5, 7, 14, 17, 18, 19))
((6, 15, 16), (11, 12, 22), (14, 17, 18, 19, 20, 21, 23, 24, 25), (1, 2, 3, 4, 5, 7, 8, 9, 10, 13))
((6, 15, 16), (12, 22, 23), (13, 14, 17, 18, 19, 20, 21), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 24, 25))
((6, 15, 16), (12, 22, 24), (13, 14, 17, 18, 19, 20, 21, 23), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (12, 22, 24), (5, 7, 14, 17, 18, 19, 21, 23, 25), (1, 2, 3, 4, 8, 9, 10, 11, 13, 20))
((6, 15, 16), (12, 22, 24), (7, 14, 17, 18, 19, 20, 21, 23, 25), (1, 2, 3, 4, 5, 8, 9, 10, 11, 13))
((6, 15, 16), (20, 22, 23), (8, 13, 14, 17, 18, 19, 21), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 24, 25))
((6, 15, 16), (20, 22, 23), (9, 12, 13, 14, 17, 18, 19, 21), (1, 2, 3, 4, 5, 7, 8, 10, 11, 24, 25))
((6, 15, 16), (20, 22, 23), (12, 13, 14, 17, 18, 19, 21, 24), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (20, 22, 23), (4, 5, 7, 8, 14, 17, 18, 19, 21), (1, 2, 3, 9, 10, 11, 12, 13, 24, 25))
((6, 15, 16), (20, 22, 24), (7, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 25))
((6, 15, 16), (20, 22, 24), (8, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 25))
((6, 15, 16), (20, 22, 24), (12, 13, 14, 17, 18, 19, 21, 23), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (20, 22, 24), (1, 2, 3, 4, 10, 11, 12, 13, 25), (5, 7, 8, 9, 14, 17, 18, 19, 21, 23))
((6, 15, 16), (20, 22, 24), (5, 7, 14, 17, 18, 19, 21, 23, 25), (1, 2, 3, 4, 8, 9, 10, 11, 12, 13))
((6, 15, 16), (21, 22, 23), (7, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 24, 25))
((6, 15, 16), (21, 22, 23), (8, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 24, 25))
((6, 15, 16), (21, 22, 23), (12, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 24, 25))
((6, 15, 16), (21, 22, 23), (12, 13, 14, 17, 18, 19, 20, 24), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (21, 22, 23), (1, 2, 10, 11, 12, 13, 20, 24, 25), (3, 4, 5, 7, 8, 9, 14, 17, 18, 19))
((6, 15, 16), (21, 22, 23), (4, 5, 7, 8, 14, 17, 18, 19, 20), (1, 2, 3, 9, 10, 11, 12, 13, 24, 25))
((6, 15, 16), (21, 22, 23), (5, 7, 8, 9, 14, 17, 18, 19, 20), (1, 2, 3, 4, 10, 11, 12, 13, 24, 25))
((6, 15, 16), (21, 22, 23), (8, 9, 10, 11, 12, 13, 20, 24, 25), (1, 2, 3, 4, 5, 7, 14, 17, 18, 19))
((6, 15, 16), (9, 12, 22, 23), (13, 14, 17, 18, 19, 20, 21), (1, 2, 3, 4, 5, 7, 8, 10, 11, 24, 25))
((6, 15, 16), (11, 12, 22, 24), (14, 17, 18, 19, 20, 21, 23, 25), (1, 2, 3, 4, 5, 7, 8, 9, 10, 13))
((6, 15, 16), (11, 12, 22, 24), (1, 2, 3, 4, 8, 9, 10, 13, 20), (5, 7, 14, 17, 18, 19, 21, 23, 25))
((6, 15, 16), (12, 22, 23, 24), (13, 14, 17, 18, 19, 20, 21), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (19, 21, 22, 23), (9, 12, 13, 14, 17, 18, 20), (1, 2, 3, 4, 5, 7, 8, 10, 11, 24, 25))
((6, 15, 16), (19, 21, 22, 23), (12, 13, 14, 17, 18, 20, 24), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
